city,code,latitude,longitude
Benešov,529303,49.783882,14.687470
Beroun,531057,49.967305,14.086384
Blansko,581283,49.364950,16.647855
Brno,582786,49.195160,16.606937
Bruntál,597180,49.988277,17.463794
Břeclav,584291,48.753240,16.882617
Česká Lípa,561380,50.678620,14.539799
České Budějovice,544256,48.975758,14.480355
Český Krumlov,545392,48.812835,14.317566
Děčín,562335,50.772656,14.212861
Domažlice,553425,49.439803,12.931243
Frýdek-Místek,598003,49.682031,18.367422
Havlíčkův Brod,568414,49.604436,15.579755
Hodonín,586021,48.853039,17.126102
Hradec Králové,569810,50.210461,15.825311
Cheb,554481,50.079633,12.369964
Chomutov,562971,50.463598,13.410837
Chrudim,571164,49.949824,15.795158
Jablonec nad Nisou,563510,50.722153,15.170414
Jeseník,536385,50.224725,17.198147
Jičín,572659,50.435433,15.361144
Jihlava,586846,49.415860,15.595469
Jindřichův Hradec,545881,49.144582,15.006239
Karlovy Vary,554961,50.231952,12.872062
Karviná,598917,49.856752,18.543319
Kladno,532053,50.141799,14.106846
Klatovy,555771,49.395655,13.295194
Kolín,533165,50.027429,15.202828
Kroměříž,588296,49.291758,17.399480
Kutná Hora,533955,49.952531,15.268754
Liberec,563889,50.766380,15.054439
Litoměřice,564567,50.538520,14.130646
Louny,565971,50.354081,13.803455
Mělník,534676,50.354002,14.481881
Mladá Boleslav,535419,50.413525,14.908538
Most,567027,50.501655,13.633012
Náchod,573868,50.414672,16.165735
Nový Jičín,599191,49.594425,18.013636
Nymburk,537004,50.185682,15.043760
Olomouc,500496,49.593878,17.250979
Opava,505927,49.940760,17.894899
Ostrava,554821,49.821023,18.262624
Pardubice,555134,50.034409,15.781299
Pelhřimov,547492,49.430721,15.223083
Písek,549240,49.303554,14.158129
Plzeň,554791,49.738531,13.373737
Praha,554782,50.075638,14.437900
Prachatice,550094,49.011010,14.000100
Prostějov,589250,49.472549,17.106851
Přerov,511382,49.456579,17.450330
Příbram,539911,49.685532,13.999045
Rakovník,541656,50.106223,13.739762
Rokycany,559717,49.738197,13.592993
Rychnov nad Kněžnou,576069,50.166065,16.277784
Semily,576964,50.605258,15.328241
Sokolov,560286,50.174629,12.659992
Strakonice,550787,49.260504,13.910408
Svitavy,577731,49.755263,16.469286
Šumperk,523704,49.977941,16.971875
Tábor,552046,49.413089,14.677566
Tachov,560715,49.798880,12.636292
Teplice,567442,50.644558,13.835384
Trutnov,579025,50.565484,15.909192
Třebíč,590266,49.214887,15.879652
Uherské Hradiště,592005,49.059897,17.495950
Ústí nad Labem,554804,50.661216,14.053246
Ústí nad Orlicí,579891,49.972280,16.399762
Vsetín,541630,49.339025,17.993952
Vyškov,592889,49.277552,16.996199
Zlín,585068,49.224537,17.662863
Znojmo,593711,48.856011,16.054368
Žďár nad Sázavou,595209,49.564288,15.939507
